# Energy_GeV  sigma_cm2
5.76904000e+00 5.02934972e-10
5.90316000e+00 1.07652694e-09
5.93724000e+00 1.92711493e-11
5.94622000e+00 3.75534854e-10
5.98082000e+00 5.35565201e-10
6.15708000e+00 1.98024755e-11
6.16475000e+00 3.98481892e-10
6.18251000e+00 1.09475659e-09
6.20036000e+00 5.69767848e-10
6.38506000e+00 2.03396907e-11
6.39131000e+00 4.22485547e-10
6.42797000e+00 6.05576350e-10
6.47508000e+00 1.11370889e-09
6.62148000e+00 2.08825541e-11
6.62619000e+00 4.47595654e-10
6.66393000e+00 6.43051401e-10
6.78149000e+00 1.12817690e-09
6.86666000e+00 2.14318702e-11
6.86971000e+00 4.73859735e-10
6.90855000e+00 6.82252732e-10
7.10241000e+00 1.14561160e-09
7.12091000e+00 2.19856645e-11
7.12217000e+00 5.01319819e-10
7.16215000e+00 7.23240642e-10
7.38392000e+00 5.30013046e-10
7.38458000e+00 2.25461535e-11
7.42506000e+00 7.66075420e-10
7.43851000e+00 1.16423574e-09
7.65528000e+00 5.59983663e-10
7.65801000e+00 2.31106625e-11
7.69763000e+00 8.10816655e-10
7.79052000e+00 1.18091292e-09
7.93662000e+00 5.91273449e-10
7.94157000e+00 2.36815019e-11
7.98019000e+00 8.57530052e-10
8.15918000e+00 1.19360837e-09
8.22830000e+00 6.23932973e-10
8.23562000e+00 2.42561742e-11
8.27313000e+00 9.06279956e-10
8.53070000e+00 6.58013328e-10
8.54056000e+00 2.48363949e-11
8.54529000e+00 1.21132306e-09
8.57683000e+00 9.57135847e-10
8.84420000e+00 6.93564796e-10
8.85680000e+00 2.54213261e-11
8.89167000e+00 1.01017044e-09
8.94967000e+00 1.22832602e-09
9.16924000e+00 7.30632026e-10
9.18474000e+00 2.60109936e-11
9.21807000e+00 1.06545264e-09
9.37319000e+00 1.24266617e-09
9.50621000e+00 7.69272409e-10
9.52483000e+00 2.66042940e-11
9.55645000e+00 1.12306048e-09
9.81675000e+00 1.25447624e-09
9.85557000e+00 8.09539857e-10
9.87751000e+00 2.72010450e-11
9.90725000e+00 1.18307428e-09
1.02177700e+01 8.51495283e-10
1.02432400e+01 2.78028860e-11
1.02709300e+01 1.24557627e-09
1.02813000e+01 1.26903957e-09
1.05932800e+01 8.95201935e-10
1.06225200e+01 2.84080728e-11
1.06479600e+01 1.31065145e-09
1.07678400e+01 1.27154452e-09
1.09825900e+01 9.40725171e-10
1.10158500e+01 2.90177393e-11
1.10388300e+01 1.37838881e-09
1.12774000e+01 1.28944066e-09
1.13862100e+01 9.88131834e-10
1.14237300e+01 2.96284788e-11
1.14440500e+01 1.44888037e-09
1.18046700e+01 1.03748605e-09
1.18110700e+01 1.30821325e-09
1.18467200e+01 3.02449388e-11
1.18641400e+01 1.52222076e-09
1.22385000e+01 1.08885161e-09
1.22853700e+01 3.08648925e-11
1.22996500e+01 1.59850356e-09
1.23699900e+01 1.32506293e-09
1.26882700e+01 1.14230010e-09
1.27402700e+01 3.14868120e-11
1.27511500e+01 1.67782827e-09
1.29553700e+01 1.32561132e-09
1.31545700e+01 1.19791608e-09
1.32120000e+01 3.21120066e-11
1.32192300e+01 1.76030199e-09
1.35684500e+01 1.34564053e-09
1.36380100e+01 1.25578145e-09
1.37012100e+01 3.27401163e-11
1.37044800e+01 1.84603853e-09
1.41392200e+01 1.31597121e-09
1.42075500e+01 1.93514812e-09
1.42085300e+01 3.33709978e-11
1.42105400e+01 1.35771172e-09
1.46588500e+01 1.37856599e-09
1.47290900e+01 2.02774867e-09
1.47346300e+01 3.40038463e-11
1.48830100e+01 1.36103491e-09
1.51975700e+01 1.44365835e-09
1.52697700e+01 2.12396437e-09
1.52802100e+01 3.46382027e-11
1.55873100e+01 1.37138851e-09
1.57560900e+01 1.51134343e-09
1.58303000e+01 2.22392052e-09
1.58460000e+01 3.52762219e-11
1.63249300e+01 1.38296856e-09
1.63351400e+01 1.58172170e-09
1.64114100e+01 2.32774922e-09
1.64327300e+01 3.59162250e-11
1.69354700e+01 1.65489376e-09
1.70138400e+01 2.43558894e-09
1.70411900e+01 3.65586270e-11
1.70974700e+01 1.39540987e-09
1.75578600e+01 1.73094991e-09
1.76383900e+01 2.54757635e-09
1.76721800e+01 3.72010695e-11
1.79065600e+01 1.40142496e-09
1.82031300e+01 1.80998271e-09
1.82858700e+01 2.66385628e-09
1.83265300e+01 3.78460440e-11
1.87539300e+01 1.41294953e-09
1.88721100e+01 1.89211397e-09
1.89571200e+01 2.78458582e-09
1.90051200e+01 3.84942262e-11
1.95656700e+01 1.97747160e-09
1.96414100e+01 1.41971615e-09
1.96530000e+01 2.90992939e-09
1.97088200e+01 3.91423038e-11
2.02847200e+01 2.06616400e-09
2.03744300e+01 3.04004303e-09
2.04385900e+01 3.97927026e-11
2.05708900e+01 1.43041882e-09
2.10302000e+01 2.15829643e-09
2.11223400e+01 3.17508861e-09
2.11953700e+01 4.04445847e-11
2.15443500e+01 1.44069660e-09
2.18030800e+01 2.25400273e-09
2.18977100e+01 3.31524143e-09
2.19801800e+01 4.10962872e-11
2.25638700e+01 1.44247681e-09
2.26043600e+01 2.35343338e-09
2.27015400e+01 3.46069052e-09
2.27940500e+01 4.17513184e-11
2.34350800e+01 2.45673137e-09
2.35348800e+01 3.61162671e-09
2.36316500e+01 1.45938047e-09
2.36380500e+01 4.24070048e-11
2.42963400e+01 2.56403314e-09
2.43988100e+01 3.76824647e-09
2.45133000e+01 4.30634590e-11
2.47499500e+01 1.46856190e-09
2.51892500e+01 2.67548037e-09
2.52944500e+01 3.93074698e-09
2.54209600e+01 4.37199544e-11
2.59211700e+01 1.46671622e-09
2.61149700e+01 2.79121580e-09
2.62229600e+01 4.09932715e-09
2.63622300e+01 4.43795180e-11
2.70747200e+01 2.91139763e-09
2.71478200e+01 1.47722862e-09
2.71855700e+01 4.27420156e-09
2.73383500e+01 4.50373847e-11
2.80697400e+01 3.03620660e-09
2.81835100e+01 4.45561649e-09
2.83506100e+01 4.56954291e-11
2.84325100e+01 1.48610097e-09
2.91013200e+01 3.16581798e-09
2.92180800e+01 4.64381205e-09
2.94003600e+01 4.63546847e-11
2.97780000e+01 1.48361573e-09
3.01708200e+01 3.30039355e-09
3.02906300e+01 4.83901991e-09
3.04889800e+01 4.70155911e-11
3.11871700e+01 1.48866471e-09
3.12796200e+01 3.44011142e-09
3.14025500e+01 5.04148514e-09
3.16179000e+01 4.76764147e-11
3.24291700e+01 3.58516911e-09
3.25552800e+01 5.25147201e-09
3.26630100e+01 1.49625456e-09
3.27886200e+01 4.83378212e-11
3.36209600e+01 3.73577081e-09
3.37503400e+01 5.46924542e-09
3.40027000e+01 4.89996340e-11
3.42087000e+01 1.51313461e-09
3.48565600e+01 3.89211668e-09
3.49892600e+01 5.69507783e-09
3.52617200e+01 4.96615558e-11
3.58275300e+01 1.51528304e-09
3.61375600e+01 4.05441738e-09
3.62736600e+01 5.92924661e-09
3.65673700e+01 5.03235041e-11
3.74656400e+01 4.22288837e-09
3.75229700e+01 1.52313736e-09
3.76052000e+01 6.17205614e-09
3.79213600e+01 5.09855549e-11
3.88425400e+01 4.39775785e-09
3.89856300e+01 6.42382181e-09
3.92986400e+01 1.52289517e-09
3.93254800e+01 5.16487895e-11
4.02700300e+01 4.57928658e-09
4.04167300e+01 6.68488853e-09
