# Energy_GeV  sigma_cm2
2.86933000e+00 1.00949777e-11
2.88904000e+00 6.16531801e-10
2.90823000e+00 2.83420436e-10
2.95039000e+00 1.58063274e-09
2.97558000e+00 1.04825184e-11
2.99521000e+00 6.67160579e-10
3.01498000e+00 3.04174466e-10
3.08576000e+00 1.08785563e-11
3.09001000e+00 1.59227896e-09
3.10529000e+00 7.20185681e-10
3.12566000e+00 3.25843542e-10
3.20001000e+00 1.12819819e-11
3.21941000e+00 7.75625344e-10
3.23624000e+00 1.60113086e-09
3.24040000e+00 3.48440357e-10
3.31850000e+00 1.16927933e-11
3.33773000e+00 8.33511166e-10
3.35935000e+00 3.71985007e-10
3.38938000e+00 1.60999228e-09
3.44138000e+00 1.21122274e-11
3.46039000e+00 8.93894794e-10
3.48266000e+00 3.96501247e-10
3.54977000e+00 1.62656151e-09
3.56880000e+00 1.25388945e-11
3.58757000e+00 9.56842789e-10
3.61050000e+00 4.22017885e-10
3.70094000e+00 1.29722862e-11
3.71776000e+00 1.63217300e-09
3.71941000e+00 1.02244172e-09
3.74304000e+00 4.48563899e-10
3.83798000e+00 1.34140833e-11
3.85610000e+00 1.09072144e-09
3.88044000e+00 4.76160625e-10
3.89369000e+00 1.63747231e-09
3.98009000e+00 1.38629859e-11
3.99782000e+00 1.16170353e-09
4.02289000e+00 5.04820023e-10
4.07795000e+00 1.64148418e-09
4.12746000e+00 1.43197287e-11
4.14474000e+00 1.23542356e-09
4.17056000e+00 5.34563906e-10
4.27093000e+00 1.65192461e-09
4.28029000e+00 1.47836891e-11
4.29706000e+00 1.31190605e-09
4.32365000e+00 5.65410728e-10
4.43878000e+00 1.52549377e-11
4.45498000e+00 1.39121971e-09
4.47304000e+00 1.66020397e-09
4.48237000e+00 5.97387704e-10
4.60313000e+00 1.57327241e-11
4.61871000e+00 1.47344714e-09
4.64691000e+00 6.30531766e-10
4.68471000e+00 1.66482266e-09
4.77357000e+00 1.62181816e-11
4.78845000e+00 1.55863068e-09
4.81749000e+00 6.64870150e-10
4.90640000e+00 1.66904630e-09
4.95033000e+00 1.67101788e-11
4.96443000e+00 1.64678079e-09
4.99433000e+00 7.00431832e-10
5.13362000e+00 1.72090179e-11
5.13858000e+00 1.67456270e-09
5.14687000e+00 1.73817325e-09
5.17767000e+00 7.37310502e-10
5.32371000e+00 1.77148421e-11
5.33602000e+00 1.83330115e-09
5.36773000e+00 7.75667881e-10
5.38175000e+00 1.67915346e-09
5.52083000e+00 1.82270781e-11
5.53213000e+00 1.93238822e-09
5.56477000e+00 8.15596489e-10
5.63643000e+00 1.67855400e-09
5.72525000e+00 1.87460313e-11
5.73544000e+00 2.03534106e-09
5.76904000e+00 8.57113451e-10
5.90316000e+00 1.68485343e-09
5.93724000e+00 1.92711493e-11
5.94622000e+00 2.14214014e-09
5.98082000e+00 9.00229086e-10
6.15708000e+00 1.98024755e-11
6.16475000e+00 2.25291988e-09
6.18251000e+00 1.68921995e-09
6.20036000e+00 9.44965464e-10
6.38506000e+00 2.03396907e-11
6.39131000e+00 2.36781243e-09
6.42797000e+00 9.91348624e-10
6.47508000e+00 1.69362030e-09
6.62148000e+00 2.08825541e-11
6.62619000e+00 2.48691652e-09
6.66393000e+00 1.03944314e-09
6.78149000e+00 1.69271562e-09
6.86666000e+00 2.14318702e-11
6.86971000e+00 2.61033299e-09
6.90855000e+00 1.08931914e-09
7.10241000e+00 1.69549968e-09
7.12091000e+00 2.19856645e-11
7.12217000e+00 2.73821887e-09
7.16215000e+00 1.14105934e-09
7.38392000e+00 2.87073034e-09
7.38458000e+00 2.25461535e-11
7.42506000e+00 1.19472921e-09
7.43851000e+00 1.70174785e-09
7.65528000e+00 3.00807649e-09
7.65801000e+00 2.31106625e-11
7.69763000e+00 1.25032538e-09
7.79052000e+00 1.70103190e-09
7.93662000e+00 3.15042382e-09
7.94157000e+00 2.36815019e-11
7.98019000e+00 1.30787295e-09
8.15918000e+00 1.69970126e-09
8.22830000e+00 3.29781358e-09
8.23562000e+00 2.42561742e-11
8.27313000e+00 1.36755291e-09
8.53070000e+00 3.45029487e-09
8.54056000e+00 2.48363949e-11
8.54529000e+00 1.70275228e-09
8.57683000e+00 1.42957319e-09
8.84420000e+00 3.60821978e-09
8.85680000e+00 2.54213261e-11
8.89167000e+00 1.49394971e-09
8.94967000e+00 1.70787068e-09
9.16924000e+00 3.77199488e-09
9.18474000e+00 2.60109936e-11
9.21807000e+00 1.56063185e-09
9.37319000e+00 1.70894086e-09
9.50621000e+00 3.94174134e-09
9.52483000e+00 2.66042940e-11
9.55645000e+00 1.62968780e-09
9.81675000e+00 1.70866951e-09
9.85557000e+00 4.11742603e-09
9.87751000e+00 2.72010450e-11
9.90725000e+00 1.70124015e-09
1.02177700e+01 4.29928510e-09
1.02432400e+01 2.78028860e-11
1.02709300e+01 1.77540478e-09
1.02813000e+01 1.71521550e-09
1.05932800e+01 4.48770360e-09
1.06225200e+01 2.84080728e-11
1.06479600e+01 1.85229758e-09
1.07678400e+01 1.72546000e-09
1.09825900e+01 4.68292732e-09
1.10158500e+01 2.90177393e-11
1.10388300e+01 1.93202547e-09
1.12774000e+01 1.72343883e-09
1.13862100e+01 4.88509585e-09
1.14237300e+01 2.96284788e-11
1.14440500e+01 2.01468716e-09
1.18046700e+01 5.09440920e-09
1.18110700e+01 1.72889654e-09
1.18467200e+01 3.02449388e-11
1.18641400e+01 2.10035385e-09
1.22385000e+01 5.31114265e-09
1.22853700e+01 3.08648925e-11
1.22996500e+01 2.18906634e-09
1.23699900e+01 1.72902785e-09
1.26882700e+01 5.53560858e-09
1.27402700e+01 3.14868120e-11
1.27511500e+01 2.28096570e-09
1.29553700e+01 1.72927378e-09
1.31545700e+01 5.76817420e-09
1.32120000e+01 3.21120066e-11
1.32192300e+01 2.37632765e-09
1.35684500e+01 1.73279174e-09
1.36380100e+01 6.00915825e-09
1.37012100e+01 3.27401163e-11
1.37044800e+01 2.47533803e-09
1.41392200e+01 6.25878426e-09
1.42075500e+01 2.57798859e-09
1.42085300e+01 3.33709978e-11
1.42105400e+01 1.72224813e-09
1.46588500e+01 6.51729425e-09
1.47290900e+01 2.68431142e-09
1.47346300e+01 3.40038463e-11
1.48830100e+01 1.73218529e-09
1.51975700e+01 6.78498511e-09
1.52697700e+01 2.79446675e-09
1.52802100e+01 3.46382027e-11
1.55873100e+01 1.71942772e-09
1.57560900e+01 7.06216796e-09
1.58303000e+01 2.90863121e-09
1.58460000e+01 3.52762219e-11
1.63249300e+01 1.72239575e-09
1.63351400e+01 7.34918779e-09
1.64114100e+01 3.02697916e-09
1.64327300e+01 3.59162250e-11
1.69354700e+01 7.64642782e-09
1.70138400e+01 3.14968139e-09
1.70411900e+01 3.65586270e-11
1.70974700e+01 1.73572858e-09
1.75578600e+01 7.95434164e-09
1.76383900e+01 3.27685924e-09
1.76721800e+01 3.72010695e-11
1.79065600e+01 1.72495135e-09
1.82031300e+01 8.27336153e-09
1.82858700e+01 3.40864167e-09
1.83265300e+01 3.78460440e-11
1.87539300e+01 1.73458845e-09
1.88721100e+01 8.60371845e-09
1.89571200e+01 3.54522347e-09
1.90051200e+01 3.84942262e-11
1.95656700e+01 8.94565116e-09
1.96414100e+01 1.72472802e-09
1.96530000e+01 3.68682006e-09
1.97088200e+01 3.91423038e-11
2.02847200e+01 9.29988585e-09
2.03744300e+01 3.83358947e-09
2.04385900e+01 3.97927026e-11
2.05708900e+01 1.72908217e-09
2.10302000e+01 9.66727170e-09
2.11223400e+01 3.98568028e-09
2.11953700e+01 4.04445847e-11
2.15443500e+01 1.73465418e-09
2.18030800e+01 1.00477804e-08
2.18977100e+01 4.14329170e-09
2.19801800e+01 4.10962872e-11
2.25638700e+01 1.73131090e-09
2.26043600e+01 1.04409980e-08
2.27015400e+01 4.30665942e-09
2.27940500e+01 4.17513184e-11
2.34350800e+01 1.08477195e-08
2.35348800e+01 4.47601545e-09
2.36316500e+01 1.73838025e-09
2.36380500e+01 4.24070048e-11
2.42963400e+01 1.12695269e-08
2.43988100e+01 4.65159306e-09
2.45133000e+01 4.30634590e-11
2.47499500e+01 1.73861407e-09
2.51892500e+01 1.17069445e-08
2.52944500e+01 4.83358174e-09
2.54209600e+01 4.37199544e-11
2.59211700e+01 1.73689188e-09
2.61149700e+01 1.21595613e-08
2.62229600e+01 5.02213293e-09
2.63622300e+01 4.43795180e-11
2.70747200e+01 1.26278108e-08
2.71478200e+01 1.73869782e-09
2.71855700e+01 5.21747339e-09
2.73383500e+01 4.50373847e-11
2.80697400e+01 1.31131263e-08
2.81835100e+01 5.41993598e-09
2.83506100e+01 4.56954291e-11
2.84325100e+01 1.73293043e-09
2.91013200e+01 1.36162688e-08
2.92180800e+01 5.62981710e-09
2.94003600e+01 4.63546847e-11
2.97780000e+01 1.73594712e-09
3.01708200e+01 1.41369311e-08
3.02906300e+01 5.84735046e-09
3.04889800e+01 4.70155911e-11
3.11871700e+01 1.72439769e-09
3.12796200e+01 1.46753659e-08
3.14025500e+01 6.07277608e-09
3.16179000e+01 4.76764147e-11
3.24291700e+01 1.52330012e-08
3.25552800e+01 6.30634841e-09
3.26630100e+01 1.72659839e-09
3.27886200e+01 4.83378212e-11
3.36209600e+01 1.58110854e-08
3.37503400e+01 6.54834837e-09
3.40027000e+01 4.89996340e-11
3.42087000e+01 1.72466022e-09
3.48565600e+01 1.64099990e-08
3.49892600e+01 6.79913308e-09
3.52617200e+01 4.96615558e-11
3.58275300e+01 1.73102361e-09
3.61375600e+01 1.70301017e-08
3.62736600e+01 7.05905154e-09
3.65673700e+01 5.03235041e-11
3.74656400e+01 1.76720266e-08
3.75229700e+01 1.72776540e-09
3.76052000e+01 7.32839004e-09
3.79213600e+01 5.09855549e-11
3.88425400e+01 1.83365180e-08
3.89856300e+01 7.60744278e-09
3.92986400e+01 1.73568416e-09
3.93254800e+01 5.16487895e-11
4.02700300e+01 1.90245361e-08
4.04167300e+01 7.89661177e-09
4.07816000e+01 5.23094428e-11
4.11583400e+01 1.73184053e-09
4.17499800e+01 1.97370774e-08
4.19003600e+01 8.19632529e-09
4.22916300e+01 5.29739380e-11
4.31060400e+01 1.73517653e-09
4.32843300e+01 2.04749747e-08
4.34384600e+01 8.50695260e-09
4.38575800e+01 5.36356099e-11
4.48750600e+01 2.12390527e-08
4.50330200e+01 8.82885303e-09
4.51459200e+01 1.73923017e-09
4.54815000e+01 5.42998871e-11
4.65242500e+01 2.20302486e-08
4.66861100e+01 9.16239063e-09
4.71655600e+01 5.49598309e-11
4.72823200e+01 1.74201171e-09
4.82340500e+01 2.28495711e-08
4.83998800e+01 9.50794351e-09
4.89119700e+01 5.56223800e-11
4.95198300e+01 1.73973014e-09
5.00066900e+01 2.36979755e-08
5.01765600e+01 9.86598124e-09
5.07230500e+01 5.62831299e-11
5.18444700e+01 2.45764057e-08
5.18632200e+01 1.73867001e-09
5.20184600e+01 1.02370315e-08
5.26011800e+01 5.69457672e-11
5.37498000e+01 2.54858537e-08
5.39279700e+01 1.06215149e-08
5.43175000e+01 1.73568957e-09
5.45488600e+01 5.76085356e-11
5.57251400e+01 2.64273864e-08
5.59075800e+01 1.10197677e-08
5.65686600e+01 5.82703101e-11
5.68879200e+01 1.73586748e-09
5.77730800e+01 2.74021269e-08
5.79598600e+01 1.14322831e-08
5.86632400e+01 5.89298193e-11
5.95799900e+01 1.74439965e-09
5.98962900e+01 2.84112866e-08
6.00874800e+01 1.18597175e-08
6.08353800e+01 5.95911783e-11
6.20975200e+01 2.94562267e-08
6.22931900e+01 1.23026886e-08
6.23994400e+01 1.73849250e-09
6.30879500e+01 6.02509082e-11
6.43796500e+01 3.05384557e-08
6.45798700e+01 1.27617332e-08
6.53523300e+01 1.74549173e-09
6.54239200e+01 6.09118957e-11
6.67456500e+01 3.16592644e-08
6.69505000e+01 1.32373699e-08
6.78463900e+01 6.15721254e-11
6.84449400e+01 1.73235419e-09
6.91986000e+01 3.28195354e-08
6.94081400e+01 1.37300894e-08
7.03585600e+01 6.22299812e-11
7.16839100e+01 1.74164479e-09
7.17417100e+01 3.40203928e-08
7.19560000e+01 1.42404516e-08
7.29637500e+01 6.28885076e-11
7.43782700e+01 3.52635675e-08
7.45973900e+01 1.47691850e-08
7.50761500e+01 1.72972871e-09
7.56654000e+01 6.35462582e-11
7.71117200e+01 3.65507854e-08
7.73357400e+01 1.53169988e-08
7.84670800e+01 6.42054000e-11
7.86289200e+01 1.73542922e-09
7.99456400e+01 3.78834821e-08
8.01746200e+01 1.58844389e-08
8.13725000e+01 6.48615197e-11
8.23498200e+01 1.73219908e-09
8.28837000e+01 3.92630901e-08
8.31177000e+01 1.64721153e-08
8.43855000e+01 6.55188174e-11
8.59297400e+01 4.06910400e-08
8.61688100e+01 1.70809318e-08
8.62468000e+01 1.72975913e-09
8.75100700e+01 6.61740536e-11
8.90877200e+01 4.21689326e-08
8.93319300e+01 1.77118292e-08
9.03281900e+01 1.73478975e-09
9.07503300e+01 6.68268158e-11
9.23617600e+01 4.36989817e-08
9.26111700e+01 1.83654538e-08
9.41105600e+01 6.74824935e-11
9.46027200e+01 1.73514614e-09
9.57561300e+01 4.52835083e-08
9.60107700e+01 1.90423973e-08
9.75952200e+01 6.81368219e-11
9.90795300e+01 1.74349781e-09
9.92752400e+01 4.69239223e-08
9.95351700e+01 1.97434645e-08
1.01208910e+02 6.87891477e-11
1.02923680e+02 4.86213792e-08
1.03188950e+02 2.04695766e-08
